id_booking,id_agoda,titolo_booking,titolo_agoda,città_booking,città_agoda,zona_booking,zona_agoda,name_similarity,città_similarity,pair,prezzo_booking,prezzo_agoda
422,63,hotel santangelo,hotel santangelo,roma,roma,Vaticano Prati,Città del Vaticano,1.0,1.0,422#63,144,144
486,509,hotel the building,hotel the building,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,486#509,216,185
874,589,belvedere valenza,belvedere valenza,terni,terni,Terni,Terni,1.0,1.0,874#589,97,97
490,162,hotel tirreno,hotel tirreno,roma,roma,Rione Monti,Monti,1.0,1.0,490#162,172,134
492,132,domus 21 luxury suites,domus 21 luxury suites,roma,roma,Pantheon,Pantheon,1.0,1.0,492#132,421,338
497,58,residenza ki,residenza ki,roma,roma,Trevi,Fontana di Trevi,1.0,1.0,497#58,166,166
500,254,roma resort colosseum,roma resort colosseum,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,500#254,164,145
502,122,golden tulip rome piram,golden tulip rome piram,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,502#122,242,204
503,192,four rivers suites,four rivers suites,roma,roma,Piazza Navona,Piazza Navona,1.0,1.0,503#192,236,226
505,112,una hotels dec roma,una hotels dec roma,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,505#112,273,231
508,520,i fiumi di navona,i fiumi di navona,roma,roma,Piazza Navona,Pantheon,1.0,1.0,508#520,183,183
533,96,hotel villa san lorenzo maria,hotel villa san lorenzo maria,roma,roma,San Lorenzo,Stazione centrale Roma Termini,1.0,1.0,533#96,197,166
873,560,bice house,bice house,terni,terni,Terni,Terni,1.0,1.0,873#560,144,144
308,236,the liberty boutique hotel,the liberty boutique hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,308#236,354,317
425,392,hotel albergo santa chiara,hotel albergo santa chiara,roma,roma,Pantheon,Pantheon,1.0,1.0,425#392,233,213
415,136,hostel trastevere,hostel trastevere,roma,roma,Gianicolense,Trastevere,1.0,1.0,415#136,201,163
363,523,hotel locarno,hotel locarno,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,363#523,599,500
310,101,best western hotel globus,best western hotel globus,roma,roma,Nomentano,Policlinico,1.0,1.0,310#101,178,138
312,168,starhotels metropole,starhotels metropole,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,312#168,262,246
319,18,hotel nord nuova roma,hotel nord nuova roma,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,319#18,242,198
320,223,hotel smeraldo,hotel smeraldo,roma,roma,Pantheon,Pantheon,1.0,1.0,320#223,222,217
329,164,hotel degli aranci,hotel degli aranci,roma,roma,Villa Borghese/Parioli,Flaminio e Parioli,1.0,1.0,329#164,153,127
877,595,la casa di glenda bis alloggio zona ospedale,la casa di glenda bis alloggio zona ospedale,terni,terni,Terni,Terni,1.0,1.0,877#595,94,94
340,171,sheraton rome parco de medici,sheraton rome parco de medici,roma,roma,Magliana Vecchia,Roma Ovest,1.0,1.0,340#171,185,185
341,130,rome marriott park hotel,rome marriott park hotel,roma,roma,Magliana Vecchia,Roma Ovest,1.0,1.0,341#130,200,200
354,431,hotel california,hotel california,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,354#431,149,149
412,165,hotel contilia,hotel contilia,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,412#165,166,153
359,315,charme chic,charme chic,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,359#315,159,131
356,402,roma 2b,roma 2b,roma,roma,Centro di Roma,Via Veneto,1.0,1.0,356#402,135,135
866,579,tana per gli ospiti,tana per gli ospiti,terni,terni,Terni,Terni,1.0,1.0,866#579,81,81
392,172,navona palace luxury inn,navona palace luxury inn,roma,roma,Piazza Navona,Piazza Navona,1.0,1.0,392#172,241,151
371,426,anas prime place,anas prime place,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,371#426,162,162
373,430,ibis styles roma aurelia,ibis styles roma aurelia,roma,roma,Aurelio,Aurelio e Monteverde,1.0,1.0,373#430,130,130
411,189,navona stay,navona stay,roma,roma,Piazza Navona,Pantheon,1.0,1.0,411#189,232,206
374,522,arch rome suites,arch rome suites,roma,roma,Pantheon,Pantheon,1.0,1.0,374#522,251,225
406,202,hotel navona,hotel navona,roma,roma,Pantheon,Pantheon,1.0,1.0,406#202,230,178
404,237,best western hotel astrid,best western hotel astrid,roma,roma,Villa Borghese/Parioli,Flaminio e Parioli,1.0,1.0,404#237,124,123
381,416,residenza paolo vi,residenza paolo vi,roma,roma,Vaticano Prati,Città del Vaticano,1.0,1.0,381#416,502,427
876,580,casa vacanze chiara,casa vacanze chiara,terni,terni,Terni,Terni,1.0,1.0,876#580,104,104
472,311,corso suite 107 rooms wellness spa,corso suite 107 rooms wellnessspa,roma,roma,Spagna,Piazza di Spagna,0.9941176470588236,1.0,472#311,240,270
783,273,hotel giardino deuropa,hotel giardino europa,roma,roma,Appio Latino,Appio Latino,0.990909090909091,1.0,783#273,123,113
380,210,maison spagna suites,maison spagna suite,roma,roma,Spagna,Piazza di Spagna,0.99,1.0,380#210,194,165
297,405,interno roma,internoroma,roma,roma,Stazione Termini,Stazione centrale Roma Termini,0.9833333333333333,1.0,297#405,123,123
573,50,hotel agor,hotel agora,roma,roma,Stazione Termini,Stazione centrale Roma Termini,0.9818181818181818,1.0,573#50,122,92
709,205,hotel genio,hotel geo,roma,roma,Piazza Navona,Roma Est,0.9636363636363636,1.0,709#205,213,92
447,284,twentyone hotel,twenty one hotel,roma,roma,Vaticano Prati,Città del Vaticano,0.9608333333333333,1.0,447#284,239,202
536,272,hotel centro cavour roma,hotel centro cavour,roma,roma,Rione Monti,Monti,0.9583333333333333,1.0,536#272,172,172
489,285,pinewood hotel rome,pinewood rome hotel,roma,roma,Aurelio,Trionfale,0.9578947368421054,1.0,489#285,153,142
219,129,augusta lucilla palace,augusta lucilla palace hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,0.9571428571428571,1.0,219#129,201,166
370,137,cardinal hotel st peter,cardinal st peter hotel,roma,roma,Aurelio,Aurelio e Monteverde,0.9565217391304348,1.0,370#137,177,162
535,508,garner hotel rome aurelia by ihg,garner hotel rome aurelia,roma,roma,Aurelio,Aurelio e Monteverde,0.95625,1.0,535#508,151,149
164,95,occidental aran park,occidental aran park hotel,roma,roma,Giuliano-Dalmata,Eur e Garbatella,0.9538461538461538,1.0,164#95,128,124
337,529,504 corso suites,504 corso suites roma,roma,roma,Spagna,Piazza di Spagna,0.9523809523809523,1.0,337#529,208,206
