,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
432,Vittoria Garden Suites,"9,1",Eccellente ,327 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 126,"1,9 km dal centro","Stazione Termini, Roma",,4.0,Camera Quadrupla con Bagno Privato ,Configurazione camera non disponibile,"Camera Quadrupla con Bagno Privato 2 letti (1 matrimoniale alla francese, 1 divano letto)Resta solo 1 camera a questo prezzo sul nostro sito"
433,Hotel Valadier,"8,3",Ottimo ,2.733 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 249,"1,5 km dal centro","Spagna, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera MatrimonialeLetti: 1 matrimoniale o 2 singoliRestano solo 7 camere a questo prezzo sul nostro sito
434,Trastevere Suite apartment,"8,3",Ottimo ,49 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 241,"1,2 km dal centro","Trastevere, Roma",,4.0,Casa Vacanze,Intera casa vacanze • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 40 m²,"Casa VacanzeIntera casa vacanze • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 40 m²2 letti (1 matrimoniale grande, 1 divano letto)"
435,La Griffe Hotel Roma,"7,4",Buono ,5.095 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,"1,1 km dal centro","Stazione Termini, Roma",5.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 2 camere a questo prezzo sul nostro sito
436,Navona First Rooms,"8,7",Favoloso ,803 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 189,"0,8 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
437,Town House Campo De Fiori,"8,8",Favoloso ,391 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 188,"0,8 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
438,Daplace - Arena House,"8,1",Ottimo ,654 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 147,"1,4 km dal centro","Colosseo, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
439,Relais Giulia,"8,9",Favoloso ,887 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 179,"1,4 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Comfort ,Configurazione camera non disponibile,Camera Matrimoniale Comfort 1 letto matrimoniale alla franceseCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
440,Best Western Premier Hotel Royal Santina,"8,7",Favoloso ,3.411 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 231,"1,8 km dal centro","Stazione Termini, Roma",4.0,,Camera King Comfort,Configurazione camera non disponibile,Camera King Comfort1 letto matrimoniale large
441,Relais Roma Centro,"8,0",Ottimo ,832 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 234,"0,8 km dal centro","Trevi, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
442,Mood44,"8,7",Favoloso ,488 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 548,"0,9 km dal centro","Spagna, Roma",,4.0,Junior Suite,Suite privata,"Junior SuiteSuite privata2 letti (1 divano letto, 1 matrimoniale)Cancellazione gratuitaNe restano solo 2 a questo prezzo sul nostro sito"
443,L'obelisque maison de luxe,"8,7",Favoloso ,665 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 157,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimoniale alla franceseColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
444,Magikrooms Topaz,"8,8",Favoloso ,257 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 150,2 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Queen ,Configurazione camera non disponibile,Camera Queen 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
445,Jadore Monic,"8,7",Favoloso ,1.174 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 115,4 km dal centro,"Nomentano, Roma",,4.0,Monolocale Queen Deluxe ,Suite privata,"Monolocale Queen Deluxe Suite privata2 letti (1 singolo, 1 matrimoniale grande)Colazione inclusaNe resta solo 1 a questo prezzo sul nostro sito"
446,Hotel Lazzari,"7,2",Buono ,1.863 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 100,"1,9 km dal centro","Stazione Termini, Roma",2.0,,Camera Matrimoniale/Doppia con Letti Singoli con Terrazza,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con TerrazzaLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
447,Twentyone Hotel,"8,3",Ottimo ,3.883 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 239,"1,8 km dal centro","Vaticano Prati, Roma",4.0,,Camera Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Doppia con Letti Singoli2 letti singoliColazione inclusaCancellazione gratuita
448,Hotel Everest Inn Rome,"8,2",Ottimo ,1.302 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 170,"1,1 km dal centro","Stazione Termini, Roma",2.0,,Camera Tripla,Configurazione camera non disponibile,"Camera Tripla2 letti (1 singolo, 1 matrimoniale grande)Resta solo 1 camera a questo prezzo sul nostro sito"
449,BePlace Holy See,"9,4",Eccellente ,287 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 193,"2,3 km dal centro","Aurelio, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
450,The Major Hotel,"8,8",Favoloso ,1.154 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 332,"1,2 km dal centro","Rione Monti, Roma",4.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale large
451,C&P Luxury Guest House Rome,"9,7",Eccezionale ,22 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 111,"3,1 km dal centro","Gianicolense, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
452,Il Gladiatore,"7,6",Buono ,760 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 190,"2,6 km dal centro","Aventino, Roma",,3.0,Camera Matrimoniale con Vasca Idromassaggio,Configurazione camera non disponibile,Camera Matrimoniale con Vasca Idromassaggio1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
453,Ripagrande a Trastevere,"9,6",Eccezionale ,576 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 243,"0,9 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale Deluxe con Terrazza,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Terrazza1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
454,Duelle Vatican Suite,"8,5",Ottimo ,252 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 141,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
455,Chic & Town Luxury Rooms,"8,3",Ottimo ,999 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 177,"0,9 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
456,Hotel dei Borgognoni,"8,7",Favoloso ,360 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 362,"0,8 km dal centro","Spagna, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
457,Noba Hotel e Residenze,"8,3",Ottimo ,1.821 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 139,"5,4 km dal centro","Monte Sacro, Roma",3.0,,Camera Classic Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Doppia con Letti Singoli 2 letti singoliColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
458,DA ME Suites,"8,9",Favoloso ,1.146 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 175,"1,8 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
459,Vatican Sofia house,"8,9",Favoloso ,145 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 302,"2,9 km dal centro","Trionfale, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 85 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 85 m²5 letti (3 singoli, 2 matrimoniali)Cancellazione gratuita"
460,RATTAZZI ROMA CENTRo,"9,2",Eccellente ,140 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,"1,6 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
461,Casa Mia in Trastevere,"7,9",Buono ,1.595 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 237,"1,1 km dal centro","Trastevere, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli1 letto matrimoniale largeColazione inclusaRestano solo 4 camere a questo prezzo sul nostro sito
462,Novotel Roma Est,"8,0",Ottimo ,280 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 143,"11,3 km dal centro",Roma,4.0,,Camera Superior,Configurazione camera non disponibile,"Camera Superior2 letti (1 divano letto, 1 matrimoniale)Restano solo 7 camere a questo prezzo sul nostro sito"
463,Hotel City Palazzo Dei Cardinali,"8,9",Favoloso ,1.091 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 208,"0,9 km dal centro","Spagna, Roma",3.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 4 camere a questo prezzo sul nostro sito
464,H10 Palazzo Galla,"9,2",Eccellente ,2.652 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 345,250 m dal centro,"Trevi, Roma",4.0,,Camera King Superior ,Configurazione camera non disponibile,"Camera King Superior 2 letti (1 divano letto, 1 matrimoniale)Cancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito"
465,The Babuino - Luxury serviced apartment,"9,6",Eccezionale ,112 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 1.283,"1,4 km dal centro","Spagna, Roma",,4.0,Appartamento Superior,Intero appartamento • 3 camere da letto • 1 zona giorno • 3 bagni • 1 cucina • 140 m²,"Appartamento SuperiorIntero appartamento • 3 camere da letto • 1 zona giorno • 3 bagni • 1 cucina • 140 m²4 letti (1 divano letto, 3 matrimoniali)"
466,"Room Mate Collection Mia, Rome Colosseum","8,8",Favoloso ,1.462 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 275,"1,5 km dal centro","Colosseo, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale
467,At Home Townhouse - Filiberto,"9,5",Eccezionale ,662 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 177,2 km dal centro,"Stazione Termini, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale largeResta solo 1 camera a questo prezzo sul nostro sito
468,Hostel Mosaic,"7,1",Buono ,5.242 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 109,"1,9 km dal centro","Stazione Termini, Roma",,,Camera Doppia con Letti Singoli e Bagno in Comune,Configurazione camera non disponibile,Camera Doppia con Letti Singoli e Bagno in Comune2 letti singoliRestano solo 2 camere a questo prezzo sul nostro sito
469,Pantheonview - Luxury Suites,"8,2",Ottimo ,961 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 266,"0,5 km dal centro","Pantheon, Roma",,4.0,Camera Superior Matrimoniale o Doppia con Letti Singoli - Mansarda,Configurazione camera non disponibile,Camera Superior Matrimoniale o Doppia con Letti Singoli - MansardaVari tipi di lettoColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
470,Ripetta Natural Suites,"8,8",Favoloso ,703 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 149,"1,5 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale
471,HT6 Hotel Roma,"9,1",Eccellente ,1.531 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 366,"0,5 km dal centro","Pantheon, Roma",4.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
472,Corso Suite 107 Rooms Wellness & Spa,"8,6",Favoloso ,754 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 240,"1,2 km dal centro","Spagna, Roma",,4.0,Camera Queen Deluxe con Accesso Spa,Configurazione camera non disponibile,Camera Queen Deluxe con Accesso Spa1 letto matrimoniale largeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
473,Vaticano84,"8,5",Ottimo ,356 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 169,"2,9 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale Comfort ,Configurazione camera non disponibile,Camera Matrimoniale Comfort Letti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
474,Piazza Venezia Luxury Suite,"8,3",Ottimo ,228 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 374,100 m dal centro,"Trevi, Roma",,4.0,Suite Superior King,Suite privata • 2 camere da letto • 1 zona giorno • 1 bagno • 45 m²,"Suite Superior KingSuite privata • 2 camere da letto • 1 zona giorno • 1 bagno • 45 m²3 letti (2 singoli, 1 matrimoniale grande)Ne resta solo 1 a questo prezzo sul nostro sito"
475,citizenM Rome Isola Tiberina,"8,9",Favoloso ,2.077 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 304,"0,7 km dal centro","Pantheon, Roma",4.0,,Camera King,Configurazione camera non disponibile,Camera King1 letto matrimoniale largeCancellazione gratuitaSenza pagamento anticipato – Paga in struttura
476,Glam Luxury Rome,"8,0",Ottimo ,473 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,"0,8 km dal centro","Rione Monti, Roma",,,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
477,room Select Via Veneto,"8,4",Ottimo ,2.505 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 187,"1,7 km dal centro","Via Veneto, Roma",4.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale EconomyLetti: 1 matrimoniale o 2 singoliRestano solo 3 camere a questo prezzo sul nostro sito
478,IRON Luxury Rooms,"9,5",Eccezionale ,527 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 196,"1,6 km dal centro","Stazione Termini, Roma",,4.0,Camera Tripla Deluxe ,Configurazione camera non disponibile,"Camera Tripla Deluxe 2 letti (1 singolo, 1 matrimoniale)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
479,Rose Garden Palace Roma by OMNIA hotels,"8,7",Favoloso ,222 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 267,"1,6 km dal centro","Via Veneto, Roma",4.0,,Camera Superior Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Superior Doppia con Letti Singoli2 letti singoliRestano solo 6 camere a questo prezzo sul nostro sito
480,Belltower Elegans,"9,2",Eccellente ,575 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 180,"1,8 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
481,Hotel Barberini,"8,9",Favoloso ,1.996 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 364,"0,9 km dal centro","Trevi, Roma",4.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseCancellazione gratuitaRestano solo 4 camere a questo prezzo sul nostro sito
482,Piccolo Hotel Boutique,"9,0",Eccellente ,1.133 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 130,"3,3 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale Deluxe con Doccia,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Doccia1 letto matrimonialeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
483,JB Relais- Campo de' Fiori,"8,8",Favoloso ,300 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 205,"0,8 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimoniale largeResta solo 1 camera a questo prezzo sul nostro sito
484,Hotel Miami,"8,3",Ottimo ,3.157 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"1,1 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 5 camere a questo prezzo sul nostro sito
485,Le Stanze di Elisa,"8,8",Favoloso ,335 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 152,"1,9 km dal centro","Vaticano Prati, Roma",,4.0,Junior Suite,Suite privata,Junior SuiteSuite privata1 letto matrimoniale largeNe resta solo 1 a questo prezzo sul nostro sito
486,Hotel The Building,"7,8",Buono ,2.520 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 216,"2,2 km dal centro","Stazione Termini, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
487,Magenta Deluxe Cancello,"8,6",Favoloso ,717 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 176,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
488,Luxury Suite Coronari,"9,5",Eccezionale ,26 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 390,"1,2 km dal centro","Piazza Navona, Roma",,4.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 2 bagni • 1 cucina • 60 m²,"Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 2 bagni • 1 cucina • 60 m²2 letti (1 divano letto, 1 matrimoniale)"
489,Pinewood Hotel Rome,"7,8",Buono ,1.826 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 153,5 km dal centro,"Aurelio, Roma",4.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 5 camere a questo prezzo sul nostro sito
490,Hotel Tirreno,"7,4",Buono ,809 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"1,3 km dal centro","Rione Monti, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaCancellazione gratuitaRestano solo 3 camere a questo prezzo sul nostro sito
491,B&B Santi Quattro Al Colosseo,"8,8",Favoloso ,1.572 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 171,"1,2 km dal centro","Colosseo, Roma",,4.0,Camera Matrimoniale Classic - Dependance ,Configurazione camera non disponibile,Camera Matrimoniale Classic - Dependance 1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
492,Domus 21 Luxury Suites,"9,1",Eccellente ,454 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 421,350 m dal centro,"Pantheon, Roma",,4.0,Camera King Superior ,Configurazione camera non disponibile,Camera King Superior 1 letto matrimoniale largeResta solo 1 camera a questo prezzo sul nostro sito
493,Trastevere Royal Suite Trilussa,"8,7",Favoloso ,637 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 216,"1,1 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimoniale alla franceseRestano solo 2 camere a questo prezzo sul nostro sito
494,Bed&Breakfast MENNA,"8,7",Favoloso ,41 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 165,"1,7 km dal centro","Stazione Termini, Roma",,4.0,Ampia Camera Matrimoniale,Configurazione camera non disponibile,Ampia Camera Matrimoniale2 letti singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
495,Hotel Artis,"7,8",Buono ,1.300 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 118,"8,4 km dal centro",Roma,4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
496,Hotel Sisto V,"8,2",Ottimo ,1.332 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 142,"5,8 km dal centro",Roma,3.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseRestano solo 5 camere a questo prezzo sul nostro sito
497,Residenza Ki,"7,5",Buono ,1.476 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 166,"0,8 km dal centro","Trevi, Roma",,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaRestano solo 3 camere a questo prezzo sul nostro sito
498,Habitat Monti,"8,5",Ottimo ,1.444 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 215,1 km dal centro,"Rione Monti, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 6 camere a questo prezzo sul nostro sito
499,Suites Rome,"9,3",Eccellente ,298 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 243,"1,2 km dal centro","Spagna, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimoniale largeResta solo 1 camera a questo prezzo sul nostro sito
500,Roma Resort Colosseum,"7,4",Buono ,3.153 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 164,"2,1 km dal centro","Stazione Termini, Roma",,3.0,Appartamento Standard,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 45 m²,"Appartamento StandardIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 45 m²2 letti (1 matrimoniale grande, 1 divano letto)Ne resta solo 1 a questo prezzo sul nostro sito"
501,The Spanish Suite Via di Ripetta,"7,8",Buono ,448 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 232,"1,4 km dal centro","Spagna, Roma",,3.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
502,Golden Tulip Rome Piram,"7,9",Buono ,2.682 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 242,"1,4 km dal centro","Stazione Termini, Roma",4.0,,Camera Standard con 1 Letto Matrimoniale,Configurazione camera non disponibile,Camera Standard con 1 Letto Matrimoniale1 letto matrimonialeCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
503,Four Rivers Suites,"8,8",Favoloso ,1.276 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 236,"0,9 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Classic con Balcone,Configurazione camera non disponibile,Camera Matrimoniale Classic con Balcone1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
504,Trastevere Colors,"9,1",Eccellente ,978 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 191,"1,4 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
505,UNA HOTELS Decò Roma,"8,7",Favoloso ,3.068 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 273,"1,5 km dal centro","Stazione Termini, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaRestano solo 5 camere a questo prezzo sul nostro sito
506,Raffaello Charmsuite,"9,1",Eccellente ,518 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"1,4 km dal centro","Piazza Navona, Roma",,4.0,Monolocale,Intero monolocale • 1 bagno • 28 m²,MonolocaleIntero monolocale • 1 bagno • 28 m²1 letto matrimoniale alla franceseNe resta solo 1 a questo prezzo sul nostro sito
