,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
130,Borgognona Rooms,"8,5",Ottimo ,432 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 214,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
131,THE STEPS Hotel - by Eitch Collection,"9,1",Eccellente ,386 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 253,1 km dal centro,"Spagna, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale largeRestano solo 2 camere a questo prezzo sul nostro sito
132,Liberty Vatican Suites - Liberty Collection,"8,1",Ottimo ,714 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 176,2 km dal centro,"Vaticano Prati, Roma",,3.0,Camera Matrimoniale Superior con Letto Supplementare,Configurazione camera non disponibile,"Camera Matrimoniale Superior con Letto Supplementare2 letti (1 singolo, 1 matrimoniale)Restano solo 2 camere a questo prezzo sul nostro sito"
133,Vatican Relais Rome,"9,0",Eccellente ,336 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 198,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera Deluxe Matrimoniale/Doppia con Letti Singoli con Balcone,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti Singoli con Balcone1 letto matrimonialeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
134,Just Chilling Suite,"8,8",Favoloso ,1.498 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 186,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale Deluxe con Vasca,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Vasca1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
135,Maison Roma Piazza di Spagna UNA Esperienze,"9,1",Eccellente ,268 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 274,"1,3 km dal centro","Spagna, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
136,Salotto Monti,"8,7",Favoloso ,1.498 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 213,"0,6 km dal centro","Rione Monti, Roma",3.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
137,Trevi Romantic Alcova,"7,5",Buono ,412 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 215,"0,8 km dal centro","Trevi, Roma",,3.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
138,Hotel Castellino Roma,"8,2",Ottimo ,1.765 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 335,100 m dal centro,"Trevi, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeRestano solo 6 camere a questo prezzo sul nostro sito
139,Hotel American Palace Eur,"8,5",Ottimo ,6.594 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 135,"7,8 km dal centro","Eur, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusa
140,LUDUS ROOMS,"9,0",Eccellente ,484 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 414,"1,2 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
141,Mocenigo Vatican Suites,"8,7",Favoloso ,419 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 192,"2,9 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
142,LH Hotel Excel Roma Montemario,"7,9",Buono ,3.401 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 88,"5,7 km dal centro","Trionfale, Roma",4.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseColazione inclusaRestano solo 4 camere a questo prezzo sul nostro sito
143,Camplus Hotel Roma Centro,"9,0",Eccellente ,1.770 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 180,"1,7 km dal centro","Stazione Termini, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti Singoli1 letto matrimonialeRestano solo 5 camere a questo prezzo sul nostro sito
144,Palazzetto Trevi,"8,8",Favoloso ,932 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 268,"0,5 km dal centro","Trevi, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
145,Madison Hotel,"7,6",Buono ,1.341 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 184,"1,8 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 4 camere a questo prezzo sul nostro sito
146,Intown Luxury House,"7,9",Buono ,462 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 208,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Classic - Dependance ,Configurazione camera non disponibile,Camera Matrimoniale Classic - Dependance 1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
147,DIDAVI' Guest House,"9,3",Eccellente ,528 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 127,"4,8 km dal centro",Roma,,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
148,Fleming Suites by Hili,"8,0",Ottimo ,643 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 131,"5,6 km dal centro","Tor Di Quinto, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato Esterno,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato EsternoLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
149,Arenula Suites,"8,6",Favoloso ,881 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 221,"0,7 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
150,Coronari Palace,"8,3",Ottimo ,720 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 259,1 km dal centro,"Piazza Navona, Roma",3.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
151,Frattina FF italian suites,"8,4",Ottimo ,920 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 175,1 km dal centro,"Spagna, Roma",,4.0,Camera Queen Superior,Configurazione camera non disponibile,Camera Queen Superior1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
152,Grand Hotel Plaza,"8,0",Ottimo ,526 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 376,"1,1 km dal centro","Spagna, Roma",5.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimoniale
153,Boutique Hotel Atelier '800,"9,0",Eccellente ,691 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 202,"1,3 km dal centro","Piazza Navona, Roma",2.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
154,The Talent Hotel,"8,5",Ottimo ,607 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 524,150 m dal centro,"Pantheon, Roma",4.0,,Suite,Suite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 36 m²,"SuiteSuite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 36 m²2 letti (1 matrimoniale grande, 1 divano letto)Colazione inclusaNe restano solo 5 a questo prezzo sul nostro sito"
155,Freedom Love B&B,"9,3",Eccellente ,995 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 202,"1,8 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
156,Tankara Suite,"9,2",Eccellente ,565 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 227,"1,2 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale con Balcone (3 Adulti),Configurazione camera non disponibile,"Camera Matrimoniale con Balcone (3 Adulti)2 letti (1 singolo, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
157,BePlace Aventino,"9,3",Eccellente ,750 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 178,"1,9 km dal centro","Aventino, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
158,Hotel Latinum,"8,3",Ottimo ,503 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 152,"2,6 km dal centro","Stazione Termini, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera MatrimonialeLetti: 1 matrimoniale o 2 singoliRestano solo 5 camere a questo prezzo sul nostro sito
159,Villa Pirandello,"8,0",Ottimo ,818 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 134,"3,5 km dal centro","Nomentano, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
160,DC Collection Spagna,"9,1",Eccellente ,334 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 312,"0,8 km dal centro","Spagna, Roma",,4.0,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti Singoli1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
161,Holiday Inn Rome - Eur Parco Dei Medici by IHG,"8,0",Ottimo ,4.392 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 190,10 km dal centro,"Magliana Vecchia, Roma",4.0,,Camera Queen Standard,Configurazione camera non disponibile,Camera Queen Standard1 letto matrimoniale alla francese
162,Crowne Plaza Rome St. Peter's by IHG,"8,2",Ottimo ,1.964 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 245,"4,8 km dal centro",Roma,4.0,,Camera Standard Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Doppia con Letti Singoli2 letti singoli
163,Rohome Stay,"9,0",Eccellente ,265 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 239,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale con Balcone,Configurazione camera non disponibile,Camera Matrimoniale con Balcone1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
164,Occidental Aran Park,"7,8",Buono ,3.993 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 128,"8,6 km dal centro","Giuliano-Dalmata, Roma",4.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli con Balcone,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli con BalconeLetti: 1 matrimoniale o 2 singoliRestano solo 5 camere a questo prezzo sul nostro sito
165,Maison Candia Luxury House,"8,9",Favoloso ,697 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 189,"2,7 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
166,TERMINI GIOBERTi,"8,5",Ottimo ,466 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 191,"1,5 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
167,Marta Inn,"8,8",Favoloso ,519 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 193,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli e Con Bagno Privato Esterno,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli e Con Bagno Privato EsternoLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
