,titolo,titolo_processed,zona,zona_processed,città,distanza_centro,prezzo,numero_notti,numero_persone,inizio_permanenza,fine_permanenza,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,indirizzo,valutazione,inizio_permanenza_datetime,fine_permanenza_datetime
648,Narnia e la Rocca di Albornoz,albornoz di e la narnia rocca,Narni,narni, Narni ,,101,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,67.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
649,The Lover House,house lover the,Terni,terni, Terni ,,82,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,8.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
650,Asso Residence Narni,asso narni residence,Narni,narni, Narni ,,102,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,220.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
651,La casa di Bianca,bianca casa di la,Terni,terni, Terni ,,126,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,35.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
652,Narniandum Est,est narniandum,Narni,narni, Narni ,,108,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,12.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",5.0,2025-01-08,2025-02-08
653,Mamma Giulia,giulia mamma,Stroncone,stroncone, Stroncone ,,65,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stroncone, Stroncone ",3.0,2025-01-08,2025-02-08
654,Lo Scorcio Marmore,lo marmore scorcio,Terni,terni, Terni ,,153,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,50.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
655,Sangemini Home,home sangemini,San Gemini,san gemini, San Gemini ,,75,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,64.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",3.0,2025-01-08,2025-02-08
656,L' Antico Casale,antico casale l,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,347.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
657,angolo verde,angolo verde,Terni,terni, Terni ,,63,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,4.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
658,Le Gatte,gatte le,Narni,narni, Narni ,,153,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,23.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
659,La Casa nel Borgo,borgo casa la nel,Terni,terni, Terni ,,120,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,35.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
660,Terni In Centro,centro in terni,Terni,terni, Terni ,,124,1.0,2.0,01-08-25,02-08-25,"7,7",Ottimo,52.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
661,Fattoria Didattica La Collina Incantata,collina didattica fattoria incantata la,Narni,narni, Narni ,,97,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,169.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
662,Marmore Charming House Greenway,charming greenway house marmore,Terni,terni, Terni ,,120,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,83.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
663,Asso Residence Stazione,asso residence stazione,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,58.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
664,Cozy 55-m2 flat close to the countryside in Narni,55 close countryside cozy flat in m2 narni the to,Narni,narni, Narni ,,109,1.0,2.0,01-08-25,02-08-25,"8,6",Fantastico,49.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",5.0,2025-01-08,2025-02-08
665,Casale Viridi - nel fresco delle colline Umbre,casale colline delle fresco nel umbre viridi,Narni,narni, Narni ,,100,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,806.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
666,Luce Marmore,luce marmore,Terni,terni, Terni ,,162,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,45.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
667,Lu Renge,lu renge,Narni,narni, Narni ,,131,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,36.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
668,Santa Filomena Guest House,filomena guest house santa,Terni,terni, Terni ,,74,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,4.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
669,Appartamenti Natura e Terra Marmore,appartamenti e marmore natura terra,Terni,terni, Terni ,,113,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,130.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
670,Casa Vacanze Piediluco,casa piediluco vacanze,Terni,terni, Terni ,,125,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
671,Casa la Mora con parcheggio su richiesta,casa con la mora parcheggio richiesta su,Narni,narni, Narni ,,238,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,24.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
672,Casa nonna Mimma,casa mimma nonna,Narni,narni, Narni ,,89,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,63.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
673,Salute Apartments,apartments salute,Terni,terni, Terni ,,103,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,123.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
674,Bilocale degli Innamorati,bilocale degli innamorati,Terni,terni, Terni ,,107,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,56.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
675,Aryhouse,aryhouse,Terni,terni, Terni ,,85,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,16.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
676,Casa vacanze TERRA DI ASLAN,aslan casa di terra vacanze,Narni,narni, Narni ,,119,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,7.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
677,,hotel valentino,,eur,Roma,,190,,,,,,,,,,,,,
678,,paris hotel,,termini,Roma,,110,,,,,,,,,,,,,
679,,fiori hotel,,Terni,Terni,,81,,,,,,,,,,,,,
680,,classic hotel tulippano,,Roma,Roma,,109,,,,,,,,,,,,,
