,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
250,navona starhome,210,navona,Roma,510.0,4.0
251,hotel mecenate palace,271,stazione termini,Roma,2.0,
252,first hotels musica preferred resorts the,537,vaticano prati,Roma,622.0,
253,cappuccini casa i,164,via veneto,Roma,1.0,
254,garden guest house orange,287,vaticano prati,Roma,801.0,4.0
255,guest house xenia,224,navona,Roma,665.0,4.0
256,musa rooms,164,stazione termini,Roma,332.0,3.0
257,albani hotel,150,,Roma,1.0,
258,nazionale palace suites,206,stazione termini,Roma,319.0,4.0
259,colosseo guest house,184,monti,Roma,552.0,4.0
260,42 habitat roman stay,155,vaticano prati,Roma,8.0,4.0
261,di fontana luxury private trevi,366,trevi,Roma,12.0,4.0
262,boho colosseum suites,251,monti,Roma,191.0,4.0
263,87 collection dart eightyseven hotel maison,251,spagna,Roma,2.0,
264,bb vatication,147,vaticano prati,Roma,1.0,4.0
265,48 by collection muzio premium private suites suites,247,vaticano prati,Roma,810.0,4.0
266,giuditta in trastevere,275,trastevere,Roma,463.0,4.0
267,hotel ripa,179,gianicolense,Roma,2.0,
268,affittacamere boncompagni suite,154,centro,Roma,486.0,4.0
269,hotel lunetta,424,navona,Roma,808.0,
270,hotel windrose,228,stazione termini,Roma,1.0,
271,hotel jc,170,fonte ostiense,Roma,1.0,
272,my spanishsteps,258,spagna,Roma,297.0,4.0
273,213 domus guest house,218,villa borghese/parioli,Roma,195.0,4.0
274,eur ibis styles,178,eur,Roma,3.0,
275,generator,173,stazione termini,Roma,4.0,
276,mascherino suites,203,vaticano prati,Roma,262.0,4.0
277,artemis,218,stazione termini,Roma,933.0,4.0
278,collection luxury plaza suites,300,villa borghese/parioli,Roma,381.0,4.0
279,giovanni retreat san,210,stazione termini,Roma,279.0,4.0
280,catone luxury rooms,181,vaticano prati,Roma,532.0,4.0
281,52 milano via,162,monti,Roma,612.0,4.0
282,boutique hotel piranesi residenza,376,spagna,Roma,1.0,
283,croce di hotel malta,165,spagna,Roma,2.0,
284,luxury new rooms trastevere,181,gianicolense,Roma,262.0,4.0
285,luxury suites vittoriano,274,pantheon,Roma,1.0,4.0
286,giorgina hotel,193,stazione termini,Roma,3.0,
287,hotel navona street,249,navona,Roma,694.0,
288,delite home navona,422,navona,Roma,25.0,4.0
289,augusta lucilla palace,201,stazione termini,Roma,4.0,
290,a holiday pietro san,162,aurelio,Roma,595.0,4.0
291,inn rooms suites,196,navona,Roma,920.0,4.0
292,glori hotel villa,802,villa borghese/parioli,Roma,2.0,
293,10 150m alis and bologna colosseum from from guest house laura metro minutes piazza the,377,nomentano,Roma,549.0,4.0
294,central navona suites,246,spagna,Roma,852.0,4.0
295,aurea domus luxury suites,253,monti,Roma,175.0,4.0
296,di gea hotel vulcano,219,stazione termini,Roma,1.0,
297,hotel viminale,386,monti,Roma,1.0,
298,boutique charme hotel parliament tree,402,spagna,Roma,2.0,
299,mia resort,220,spagna,Roma,835.0,3.0
300,dei di monti piazza spagna trinità,203,via veneto,Roma,512.0,4.0
301,hotel piemonte,176,stazione termini,Roma,1.0,
302,domus ester,130,navona,Roma,1.0,3.0
303,capranica torre,217,pantheon,Roma,212.0,4.0
304,magenta navona pantheon,180,pantheon,Roma,460.0,4.0
305,apartment bloom by griffe la,161,stazione termini,Roma,1.0,4.0
306,affreschi bb luxury su,241,navona,Roma,790.0,4.0
307,residenza spada,284,navona,Roma,577.0,4.0
308,hotel valeri,178,monti,Roma,1.0,
309,hotel ii paolo,206,aurelio,Roma,1.0,
310,homestay trastevere,166,gianicolense,Roma,93.0,4.0
311,in quality,242,monti,Roma,513.0,4.0
312,flaminio popolo rooms,192,villa borghese/parioli,Roma,913.0,4.0
313,excellent rooms trinity,185,via veneto,Roma,378.0,4.0
314,mybedcavour,204,vaticano prati,Roma,345.0,4.0
315,rooms trinita,138,vaticano prati,Roma,122.0,4.0
316,hotel triviho,255,trevi,Roma,570.0,
317,hiberia hotel,237,trevi,Roma,4.0,
318,angelo castel fresh house sant,283,trastevere,Roma,23.0,4.0
319,by collection lahouse premium suites,180,via veneto,Roma,480.0,4.0
320,308 charme,340,navona,Roma,646.0,4.0
321,borgo ripa travel urban,160,trastevere,Roma,1.0,
322,luxury river suites,196,vaticano prati,Roma,432.0,4.0
323,la vaticana vite,146,vaticano prati,Roma,703.0,4.0
324,dartagnan i moschettieri tre,323,trevi,Roma,1.0,4.0
325,dom hotel hotels preferred resorts,572,navona,Roma,473.0,
326,accommodation in leading luxury suites the vatican,192,vaticano prati,Roma,668.0,3.0
327,domus sessoriana,268,stazione termini,Roma,1.0,3.0
328,comfort di piazza rooms spagna,136,spagna,Roma,588.0,3.0
329,navona rooms,237,navona,Roma,534.0,4.0
330,cinecittà mercure,176,appio latino,Roma,4.0,
331,augusto charme luxury suites tree,259,spagna,Roma,1.0,
332,a hotel lifestyle,248,,Roma,4.0,
333,condotti crossing,437,spagna,Roma,261.0,4.0
334,hotel medici,183,centro,Roma,2.0,
335,capitolium rooms,164,stazione termini,Roma,476.0,4.0
336,b place the,166,vaticano prati,Roma,1.0,
337,dellorso lantica locanda,135,navona,Roma,1.0,3.0
338,borromini eitch palazzo pamphilj,541,navona,Roma,710.0,
339,antica corso del residenza,216,spagna,Roma,1.0,4.0
340,nox,205,vaticano prati,Roma,970.0,4.0
341,boutique hotel leonardo termini,194,stazione termini,Roma,1.0,
342,colonna couper the,204,pantheon,Roma,994.0,4.0
343,a bb scalini trastevere ventisei,205,trastevere,Roma,1.0,4.0
344,9 cloud hotel,145,vaticano prati,Roma,745.0,
345,boutique condominio hotel monti,307,monti,Roma,1.0,
346,mama shelter,307,trionfale,Roma,2.0,
347,cavour piazza suite,179,vaticano prati,Roma,1.0,4.0
348,di hotel re,141,san giovanni,Roma,4.0,
349,andreotti hotel lh,130,stazione termini,Roma,3.0,
350,247 luxury rooms trastevere,165,gianicolense,Roma,632.0,4.0
351,230 luxury room suites,195,stazione termini,Roma,689.0,4.0
352,hotel pantheon,384,pantheon,Roma,746.0,
353,55 collection dart fiftyfive hotel maison,221,spagna,Roma,6.0,
354,lungotevere suite,140,portuense,Roma,1.0,4.0
355,hoxton the,312,,Roma,2.0,
356,guest house suites vite,172,spagna,Roma,369.0,4.0
357,hotel navona theatre,261,navona,Roma,1.0,
358,bb dulcis in vatican,147,trionfale,Roma,414.0,4.0
359,181 babuino hotels luxury of small the world,285,spagna,Roma,729.0,
360,and chilling deluxe guesthouse jacuzzi rooms suite,179,vaticano prati,Roma,514.0,4.0
361,by hotel hotels martin omnia st,191,stazione termini,Roma,1.0,
362,apartment peter rizzo st,255,trionfale,Roma,115.0,4.0
363,best hotel plus universo western,265,stazione termini,Roma,4.0,
364,hotel silva,149,nomentano,Roma,454.0,
365,delle hotel muse,201,villa borghese/parioli,Roma,1.0,
366,carlo san suite,233,spagna,Roma,676.0,4.0
367,interno,123,stazione termini,Roma,425.0,4.0
368,atlantis inn,166,vaticano prati,Roma,627.0,4.0
